2023.02.07_08:50,91
2023.02.07_08:54,92
2023.02.07_08:59,91
2023.02.07_09:03,105
2023.02.07_09:12,90
2023.02.07_09:15,90
2023.02.07_09:19,91
2023.02.07_09:23,113
2023.02.07_09:29,98
2023.02.07_09:32,98
2023.02.07_09:37,91
2023.02.07_09:41,90
2023.02.07_09:45,94
2023.02.07_09:49,100
2023.02.07_09:54,94
2023.02.07_09:56,89
2023.02.07_10:01,92
2023.02.07_10:05,105
2023.02.07_10:09,99
2023.02.07_10:24,126
2023.02.07_10:24,126
2023.02.07_10:26,99
2023.02.07_10:29,90
2023.02.07_10:34,67
2023.02.07_10:42,100
2023.02.07_10:43,99
2023.02.07_10:48,96
2023.02.07_10:54,96
2023.02.07_11:02,109
2023.02.07_11:08,109
2023.02.07_11:14,101
2023.02.07_11:21,98
2023.02.07_11:26,93
2023.02.07_11:28,94
2023.02.07_11:33,88
2023.02.07_11:41,87
2023.02.07_11:45,95
2023.02.07_12:28,98
2023.02.07_12:37,94
2023.02.07_12:40,93
2023.02.07_12:45,90
2023.02.07_12:51,93
2023.02.07_12:53,91
2023.02.07_12:58,91
2023.02.07_13:08,95
2023.02.07_13:10,90
2023.02.07_13:16,98
2023.02.07_13:21,90
2023.02.07_13:25,84
2023.02.07_13:30,84
2023.02.07_13:34,84
2023.02.07_13:49,149
2023.02.07_13:49,148
2023.02.07_13:49,141
2023.02.07_13:49,142
2023.02.07_13:50,141
2023.02.07_13:50,135
2023.02.07_13:50,133
2023.02.07_13:50,131
2023.02.07_13:50,130
2023.02.07_13:50,130
2023.02.07_13:50,130
2023.02.07_13:50,128
2023.02.07_13:50,125
2023.02.07_13:50,121
2023.02.07_13:50,122
2023.02.07_13:51,125
2023.02.07_13:51,122
2023.02.07_13:51,128
2023.02.07_13:51,129
2023.02.07_13:51,128
2023.02.07_13:51,127
2023.02.07_13:51,126
2023.02.07_13:51,125
2023.02.07_13:51,127
2023.02.07_13:51,133
2023.02.07_13:51,130
2023.02.07_13:51,129
2023.02.07_13:52,128
2023.02.07_13:52,128
